,US,Germany,Italy,Russia,Iran,Spain,France,United Kingdom,Brazil
0,6.0,2.0,2.0,3.0,2,2.0,2.0,2.0,3.0
1,7.0,2.0,3.0,3.0,2,3.0,2.0,2.0,6.0
2,11.0,3.0,7.0,4.0,4,5.0,2.0,3.0,11.0
3,12.0,3.0,10.0,4.0,5,10.0,2.0,7.0,15.0
4,14.0,7.0,12.0,8.0,8,17.0,2.0,7.0,25.0
5,17.0,9.0,17.0,9.0,12,28.0,3.0,9.0,34.0
6,21.0,11.0,21.0,17.0,16,35.0,4.0,10.0,46.0
7,22.0,17.0,29.0,24.0,19,54.0,4.0,28.0,59.0
8,28.0,24.0,34.0,30.0,26,55.0,6.0,43.0,77.0
9,33.0,28.0,52.0,34.0,34,133.0,9.0,66.0,92.0
10,43.0,44.0,79.0,43.0,43,195.0,11.0,82.0,111.0
11,52.0,67.0,107.0,45.0,54,289.0,19.0,116.0,136.0
12,58.0,84.0,148.0,47.0,66,342.0,19.0,159.0,159.0
13,70.0,94.0,197.0,58.0,77,533.0,33.0,195.0,201.0
14,97.0,123.0,233.0,63.0,92,623.0,48.0,251.0,240.0
15,131.0,157.0,366.0,76.0,107,830.0,48.0,286.0,324.0
16,188.0,206.0,463.0,94.0,124,1043.0,79.0,360.0,359.0
17,265.0,267.0,631.0,106.0,145,1375.0,91.0,509.0,445.0
18,362.0,342.0,827.0,130.0,194,1772.0,91.0,695.0,486.0
19,456.0,433.0,1016.0,148.0,237,2311.0,149.0,879.0,564.0
20,601.0,533.0,1266.0,170.0,291,2808.0,149.0,1163.0,686.0
21,784.0,645.0,1441.0,198.0,354,3647.0,149.0,1457.0,819.0
22,1021.0,775.0,1809.0,232.0,429,4365.0,244.0,1672.0,950.0
23,1333.0,920.0,2158.0,273.0,514,5138.0,451.0,2046.0,1057.0
24,1746.0,1107.0,2503.0,313.0,611,5982.0,563.0,2429.0,1124.0
25,2300.0,1275.0,2978.0,361.0,724,6803.0,676.0,3100.0,1223.0
26,2934.0,1444.0,3405.0,405.0,853,7716.0,862.0,3752.0,1328.0
27,3561.0,1584.0,4032.0,456.0,988,8464.0,1102.0,4467.0,1532.0
28,4381.0,1810.0,4825.0,513.0,1135,9387.0,1333.0,5228.0,1736.0
29,5605.0,2016.0,5476.0,555.0,1284,10348.0,1698.0,5874.0,1924.0
30,6846.0,2349.0,6077.0,615.0,1433,11198.0,1997.0,6445.0,2141.0
31,8432.0,2607.0,6820.0,681.0,1556,11947.0,2317.0,7483.0,2354.0
32,9747.0,2767.0,7503.0,747.0,1685,12641.0,2611.0,8519.0,2462.0
33,11031.0,2736.0,8215.0,794.0,1812,13341.0,3030.0,9623.0,2587.0
34,12470.0,3022.0,9134.0,867.0,1934,14045.0,3532.0,10776.0,2741.0
